name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,throwback_logo
Colorado,ncaa,#CFB87C,#000000,#565A5C,#A2A4A3,Pac 12,Colorado,NA,Colorado Buffaloes,http://content.sportslogos.net/logos/30/647/thumbs/7489.gif,
Colorado State Rams,ncaa,#1E4D2B,#C8C372,NA,NA,MWC,Colorado State,Rams,Colorado State Rams,http://content.sportslogos.net/logos/30/648/thumbs/64819792015.gif,
Columbia Lions,ncaa,#9BCBEB,#003865,NA,NA,Ivy,Columbia,Lions,Columbia Lions,http://content.sportslogos.net/logos/30/649/thumbs/pgajpnw7gro1aao7vczkves9z.gif,
Cornell Big Red,ncaa,#B31B1B,#5E3920,#89572E,#000000,Ivy,Cornell,Big Red,Cornell Big Red,http://content.sportslogos.net/logos/30/651/thumbs/65139712002.gif,
Creighton Bluejays,ncaa,#005CA9,#00235D,#6CADDE,#828282,Big East,Creighton,Bluejays,Creighton Bluejays,http://content.sportslogos.net/logos/30/652/thumbs/65227962013.gif,
CSU Bakersfield,ncaa,#005DAA,#FFD200,NA,NA,WAC,CSU Bakersfield,NA,CSU Bakersfield Roadrunners,http://content.sportslogos.net/logos/30/5046/thumbs/504679332006.gif,
CSUN,ncaa,#CE1126,#D1CEC6,#000000,NA,Big West,CSUN,NA,Cal State Northridge Matadors,http://content.sportslogos.net/logos/30/628/thumbs/62897842014.gif,
Dartmouth,ncaa,#046A38,#000000,NA,NA,Ivy,Dartmouth,NA,Dartmouth Big Green,http://content.sportslogos.net/logos/31/653/thumbs/0s2fdu2ejo17tjqu4ii4zd2pl.gif,
Davidson,ncaa,#AC1A2F,#000000,NA,NA,A-10,Davidson,NA,Davidson Wildcats,http://content.sportslogos.net/logos/31/654/thumbs/65492672010.gif,
Dayton Flyers,ncaa,#CE1141,#004B8D,#F80228,#0200D1,A-10,Dayton,Flyers,Dayton Flyers,http://content.sportslogos.net/logos/31/655/thumbs/65570832015.gif,
Denver Pioneers,ncaa,#8B2332,#8B6F4B,NA,NA,Summit,Denver,Pioneers,Denver Pioneers,http://content.sportslogos.net/logos/31/659/thumbs/65958742007.gif,
DePaul Blue Demons,ncaa,#005EB8,#E4002B,NA,NA,Big East,DePaul,Blue Demons,DePaul Blue Demons,http://content.sportslogos.net/logos/31/656/thumbs/2467.gif,
Detroit Mercy Titans,ncaa,#A6093D,#002D72,#D7D2CB,NA,Horizon,Detroit,Mercy Titans,Detroit Titans,http://content.sportslogos.net/logos/31/660/thumbs/66041452016.gif,
Drake Bulldogs,ncaa,#004477,#999999,NA,NA,MVC,Drake,Bulldogs,Drake Bulldogs,http://content.sportslogos.net/logos/31/661/thumbs/66135332015.gif,
Duke Blue Devils,ncaa,#001A57,#FFFFFF,#003366,#0736A4,ACC,Duke,Blue Devils,Duke Blue Devils,http://content.sportslogos.net/logos/31/663/thumbs/66395011978.gif,
Duquesne Dukes,ncaa,#041E42,#BA0C2F,#000000,NA,A-10,Duquesne,Dukes,Duquesne Dukes,http://content.sportslogos.net/logos/31/664/thumbs/66440092019.gif,
East Carolina Pirates,ncaa,#592A8A,#FDC82F,NA,NA,AAC,East Carolina,Pirates,East Carolina Pirates,http://content.sportslogos.net/logos/31/665/thumbs/66580462014.gif,
Eastern Michigan Eagles,ncaa,#006633,#000000,NA,NA,MAC,Eastern Michigan,Eagles,Eastern Michigan Eagles,http://content.sportslogos.net/logos/31/669/thumbs/66988442013.gif,
Eastern Washington Eagles,ncaa,#A10022,#FFFFFF,#6D6E71,NA,Big Sky,Eastern Washington,Eagles,Eastern Washington Eagles,http://content.sportslogos.net/logos/31/670/thumbs/6878.gif,
Evansville Purple Aces,ncaa,#52237F,#F36F21,NA,NA,MVC,Evansville,Purple Aces,Evansville Purple Aces,http://content.sportslogos.net/logos/31/672/thumbs/67264652019.gif,
Fairfield Stags,ncaa,#C8102E,#A2AAAD,#000000,NA,MAAC,Fairfield,Stags,Fairfield Stags,http://content.sportslogos.net/logos/31/673/thumbs/fem0t6nf9oeoohyyqbp7erhvg.gif,
FGCU,ncaa,#002D72,#007749,#B9975B,NA,A-Sun,FGCU,NA,Florida Gulf Coast Eagles,http://content.sportslogos.net/logos/31/4946/thumbs/494681002002.gif,
FIU,ncaa,#081E3F,#B6862C,NA,NA,C-USA,FIU,NA,FIU Panthers,http://content.sportslogos.net/logos/31/678/thumbs/67854492010.gif,
Florida Atlantic Owls,ncaa,#003366,#CC0000,#8A8D8F,#CCCCCC,C-USA,Florida Atlantic,Owls,Florida Atlantic Owls,http://content.sportslogos.net/logos/31/677/thumbs/vviv38wr7tk9nq4k2liou3r1e.gif,
Florida Gators,ncaa,#0021A5,#FA4616,NA,NA,SEC,Florida,Gators,Florida Gators,http://content.sportslogos.net/logos/31/675/thumbs/67570762013.gif,
Florida State Seminoles,ncaa,#782F40,#CEB888,#FFFFFF,#000000,ACC,Florida State,Seminoles,Florida State Seminoles,http://content.sportslogos.net/logos/31/679/thumbs/67959842014.gif,
Fordham Rams,ncaa,#860038,#FFFFFF,NA,NA,A-10,Fordham,Rams,Fordham Rams,http://content.sportslogos.net/logos/31/680/thumbs/68090482009.gif,
Fresno State,ncaa,#DB0032,#002E6D,#007934,NA,MWC,Fresno State,NA,Fresno State Bulldogs,http://content.sportslogos.net/logos/31/681/thumbs/68177952006.gif,
George Mason Patriots,ncaa,#006633,#FFCC33,#000000,NA,A-10,George Mason,Patriots,George Mason Patriots,http://content.sportslogos.net/logos/31/684/thumbs/82zgn45ik9y1ttzrdfugvgfsj.gif,
George Washington Colonials,ncaa,#E2CB92,#002654,NA,NA,A-10,George Washington,Colonials,George Washington Colonials,http://content.sportslogos.net/logos/31/685/thumbs/68559682008.gif,
Georgetown Hoyas,ncaa,#041E42,#8D817B,NA,NA,Big East,Georgetown,Hoyas,Georgetown Hoyas,http://content.sportslogos.net/logos/31/686/thumbs/41oxa3jgd3ht8c7a6zf2hbf99.gif,
Georgia Bulldogs,ncaa,#BA0C2F,#000000,#FFFFFF,NA,SEC,Georgia,Bulldogs,Georgia Bulldogs,http://content.sportslogos.net/logos/31/687/thumbs/hr85j3g1duiqf59eiep9bvnsd.gif,
Georgia Southern Eagles,ncaa,#011E41,#A3AAAE,#87714D,NA,Sunbelt,Georgia Southern,Eagles,Georgia Southern Eagles,http://content.sportslogos.net/logos/31/688/thumbs/68879472010.gif,
Georgia State Panthers,ncaa,#0039A6,#C60C30,#000000,NA,Sunbelt,Georgia State,Panthers,Georgia State Panthers,http://content.sportslogos.net/logos/31/689/thumbs/68949972014.gif,
Georgia Tech,ncaa,#B3A369,#003057,#A28D5B,NA,ACC,Georgia Tech,NA,Georgia Tech Yellow Jackets,http://content.sportslogos.net/logos/31/690/thumbs/2491.gif,
Gonzaga Bulldogs,ncaa,#041E42,#C8102E,#C1C6C8,NA,WCC,Gonzaga,Bulldogs,Gonzaga Bulldogs,http://content.sportslogos.net/logos/31/691/thumbs/6886.gif,
Grand Canyon Antelopes,ncaa,#522398,#000000,NA,NA,WAC,Grand Canyon,Antelopes,Grand Canyon Antelopes,http://content.sportslogos.net/logos/31/5050/thumbs/505089242015.gif,
Green Bay,ncaa,#006747,#9D2235,#8A8D8F,NA,Horizon,Green Bay,NA,Wisconsin-Green Bay Phoenix,http://content.sportslogos.net/logos/35/891/thumbs/t73vzch64n5fanniemu04ei3v.gif,
Hartford Hawks,ncaa,#C02427,#0F0708,NA,NA,Am. East,Hartford,Hawks,Hartford Hawks,http://content.sportslogos.net/logos/31/694/thumbs/69439442015.gif,
Harvard Crimson,ncaa,#A41034,#000000,#808285,#B6B6B6,Ivy,Harvard,Crimson,Harvard Crimson,http://content.sportslogos.net/logos/31/695/thumbs/afpnmfyxeigiunegxzxrdukt7.gif,
Hawaii,ncaa,#024731,#C8C8C8,#000000,NA,Big West,Hawaii,NA,Hawaii Warriors,http://content.sportslogos.net/logos/31/696/thumbs/2494.gif,
Houston Cougars,ncaa,#C8102E,#76232F,#B2B4B2,NA,AAC,Houston,Cougars,Houston Cougars,http://content.sportslogos.net/logos/31/700/thumbs/70063032012.gif,
Idaho State Bengals,ncaa,#000000,#F9A81A,NA,NA,Big Sky,Idaho State,Bengals,Idaho State Bengals,http://content.sportslogos.net/logos/32/705/thumbs/70511631997.gif,
Idaho Vandals,ncaa,#EAAB00,#86754D,#808080,#000000,Big Sky,Idaho,Vandals,Idaho Vandals,http://content.sportslogos.net/logos/32/704/thumbs/70458472004.gif,
Illinois,ncaa,#13294B,#E84A27,NA,NA,Big 10,Illinois,NA,Illinois Fighting Illini,http://content.sportslogos.net/logos/32/706/thumbs/70683592014.gif,
Illinois State Redbirds,ncaa,#CE1126,#F9DD16,#000000,NA,MVC,Illinois State,Redbirds,Illinois State Redbirds,http://content.sportslogos.net/logos/32/707/thumbs/5l5bieqet3144zaiwte9.gif,
Indiana Hoosiers,ncaa,#990000,#EEEDEB,NA,NA,Big 10,Indiana,Hoosiers,Indiana Hoosiers,http://content.sportslogos.net/logos/32/709/thumbs/70922132002.gif,
Indiana State Sycamores,ncaa,#0142BC,#FFFFFF,NA,NA,MVC,Indiana State,Sycamores,Indiana State Sycamores,http://content.sportslogos.net/logos/32/710/thumbs/71058591991.gif,
Iona,ncaa,#6F2C3F,#F2A900,NA,NA,MAAC,Iona,NA,Iona Gaels,http://content.sportslogos.net/logos/32/711/thumbs/71185382016.gif,
Iowa Hawkeyes,ncaa,#FFCD00,#000000,NA,NA,Big 10,Iowa,Hawkeyes,Iowa Hawkeyes,http://content.sportslogos.net/logos/32/712/thumbs/iu01050mxpzmj4zqegb0vvhgu.gif,
Iowa State Cyclones,ncaa,#C8102E,#F1BE48,NA,NA,Big 12,Iowa State,Cyclones,Iowa State Cyclones,http://content.sportslogos.net/logos/32/713/thumbs/71346122008.gif,
IUPUI,ncaa,#9D2235,#DFD1A7,#000000,NA,Horizon,IUPUI,NA,IUPUI Jaguars,http://content.sportslogos.net/logos/32/703/thumbs/o4gdbgmehb7eh9beafqannlto.gif,
Jacksonville State Gamecocks,ncaa,#004E44,#898A8D,#BBBBBB,#000000,OVC,Jacksonville State,Gamecocks,Jacksonville State Gamecocks,http://content.sportslogos.net/logos/32/716/thumbs/84gdv65kg9fdjefh4teoh5355.gif,
Kansas Jayhawks,ncaa,#0051BA,#E8000D,#FFC82D,#85898A,Big 12,Kansas,Jayhawks,Kansas Jayhawks,http://content.sportslogos.net/logos/32/718/thumbs/t96oee4doe8n2oxaft7f.gif,
Kansas State Wildcats,ncaa,#512888,#D1D1D1,#A7A7A7,#FFFFFF,Big 12,Kansas State,Wildcats,Kansas State Wildcats,http://content.sportslogos.net/logos/32/719/thumbs/2508.gif,
